Número de Registro,Fecha de ingreso,Denominación del Objeto,Cultura,Materiales,Zona Arqueológica,País
,Día,,,,,
MB 000072,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000072,16,Figura,Machalilla,Arcilla,,Ecuador
MB 000072,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000073,16,Vasija,Bolo Quebrada Seca,Arcilla,Valle del Cauca,Colombia
MB 000073,16,Figura,Machalilla,Arcilla,Provincia Manabí,Ecuador
MB 000073,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000074,16,Vaso,Bolo Quebrada Seca,Arcilla,Valle del Cauca,Colombia
MB 000074,16,Fragmento,Machalilla,Arcilla,Provincia Manabí,Ecuador
MB 000074,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000075,16,Vaso,Bolo Quebrada Seca,Arcilla,Valle del Cauca,Colombia
MB 000075,16,Figura,Machalilla,Arcilla,Provincia Manabí,Ecuador
MB 000075,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000076,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000076,16,Figura,Machalilla,Arcilla,Provincia Manabí,Ecuador
MB 000076,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000077,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000077,16,Figura,Machalilla,Arcilla,Provincia Manabí,Ecuador
MB 000077,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000078,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000078,16,Figura,Machalilla,Arcilla,Provincia Manabí,Ecuador
MB 000078,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000079,16,Vasija,Bolo Quebrada Seca,Arcilla,Valle del Cauca,Colombia
MB 000079,16,Figura,Machalilla,Arcilla,Provincia Manabí,Ecuador
MB 000079,16,Hacha,Tairona,Piedra,Costa Caribe,Colombia
MB 000080,16,Figura,Zenú,Arcilla,Costa Caribe,Colombia
MB 000080,16,Máscara,Guangala,Arcilla,Costa Pacífica,Ecuador
MB 000080,16,Cincel,Nutabe,Piedra,Cauca Medio,Colombia
MB 000081,16,Figura,Nutabe,Arcilla,Cauca Medio,Colombia
MB 000081,16,Figura,Guangala,Arcilla,Sur de Manabí,Ecuador
MB 000081,16,Hacha,Catía,Piedra,,Colombia
MB 000082,16,Figura,Zenú,Arcilla,Costa Caribe,Colombia
MB 000082,16,Fragmento,Guangala,Arcilla,Sur de Manabí,Ecuador
MB 000082,16,Hacha,Catía,Piedra,,Colombia
MB 000083,16,Figura,Zenú,Arcilla,Costa Caribe,Colombia
MB 000083,16,Cabeza,Guangala,Arcilla,Costa Pacífica,Ecuador
MB 000083,16,Hacha,Catía,Piedra,,Colombia
MB 000084,16,Figura,Zenú,Arcilla,Costa Caribe,Colombia
MB 000084,16,Fragmento de cabeza,Guangala,Arcilla,Costa Pacífica,Ecuador
MB 000084,16,Hacha,Catía,Piedra,,Colombia
MB 000085,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000085,16,Fragmento,Guangala,Arcilla,Costa Pacífica,Ecuador
MB 000085,16,Hacha,Catía,Piedra,,Colombia
MB 000086,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000086,16,Fragmento,Guangala,Arcilla,Sur de Manabí,Ecuador
MB 000086,16,Hacha,Catía,Piedra,,Colombia
MB 000087,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000087,16,Cabeza,Guangala,Arcilla,Costa Pacífica,Ecuador
MB 000087,16,Hacha,Nutabe,Piedra,Cauca Medio,Colombia
MB 000088,16,Vasos comunicantes,Tairona,Arcilla,Costa Caribe,Colombia
MB 000088,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000088,16,Hacha,Catía,Piedra,,Colombia
MB 000089,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000089,16,Figura,,Arcilla,,Ecuador
MB 000089,16,Hacha,Catía,Piedra,,Colombia
MB 000090,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000090,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000090,16,Hacha,Nutabe,Piedra,Cauca Medio,Colombia
MB 000091,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000091,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000091,16,Hacha,Nutabe,Piedra,Bajo Cauca,Colombia
MB 000092,16,Vasija,Tairona,Arcilla,Costa Caribe,Colombia
MB 000092,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000092,16,Hacha,Nutabe,Piedra,Bajo Cauca,Colombia
MB 000093,16,Urna,Complejo Magdalena medio,Arcilla,Magdalena Medio,Colombia
MB 000093,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000093,16,Hacha,,Piedra,,Colombia
